,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jayson Tatum,BOS,24,24,14,10,983,615,201,472,42.6,77,196,39.3,136,170,80.0,24,137,161,148,100,29,21,72,1080.2,7,0,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Stephen Curry,GSW,34,22,16,6,764,602,202,440,45.9,91,229,39.7,107,129,82.9,11,104,115,129,57,29,8,59,987.5,3,0,121,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,Jaylen Brown,BOS,25,24,14,10,920,554,197,419,47.0,60,161,37.3,100,131,76.3,33,133,166,85,74,27,10,71,917.7,2,0,73,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,Luka Doncic,DAL,23,15,7,8,552,475,160,352,45.5,51,148,34.5,104,135,77.0,10,137,147,96,59,27,9,44,844.4,10,0,31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,Jimmy Butler,MIA,32,17,10,7,629,466,166,328,50.6,23,68,33.8,111,132,84.1,41,84,125,78,25,35,11,25,846.0,4,0,95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,Klay Thompson,GSW,32,22,16,6,792,419,158,368,42.9,77,200,38.5,26,30,86.7,7,79,86,50,28,24,15,47,686.2,0,0,41,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,Jalen Brunson,DAL,25,18,9,9,629,388,145,311,46.6,26,75,34.7,72,90,80.0,15,68,83,66,19,14,1,38,612.6,0,0,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,Giannis Antetokounmpo,MIL,27,12,7,5,448,380,140,285,49.1,9,41,22.0,91,134,67.9,26,144,170,81,54,8,15,43,720.5,9,1,79,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,Jordan Poole,GSW,23,22,16,6,605,373,129,254,50.8,50,128,39.1,65,71,91.5,10,52,62,83,53,17,8,62,593.9,0,0,51,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,Andrew Wiggins,GSW,27,22,16,6,767,363,143,305,46.9,35,105,33.3,42,65,64.6,54,111,165,40,30,22,23,54,726.0,6,0,140,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,Marcus Smart,BOS,28,21,12,9,760,324,113,279,40.5,48,137,35.0,50,62,80.6,20,75,95,123,52,26,5,71,663.5,3,0,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,Al Horford,BOS,36,23,14,9,815,277,101,193,52.3,47,98,48.0,28,36,77.8,35,179,214,76,29,19,31,64,768.8,6,0,99,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,Bam Adebayo,MIA,24,18,11,7,614,266,104,175,59.4,0,1,0.0,58,76,76.3,37,107,144,48,38,18,13,55,565.8,6,0,78,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,Spencer Dinwiddie,DAL,29,18,9,9,501,255,80,192,41.7,40,96,41.7,55,67,82.1,8,36,44,65,29,15,6,42,439.3,0,0,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,Tyrese Maxey,PHI,21,12,6,6,485,249,88,182,48.4,26,69,37.7,47,50,94.0,6,36,42,47,21,9,2,24,381.9,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,Ja Morant,MEM,22,9,5,4,338,244,81,184,44.0,17,50,34.0,65,87,74.7,13,59,72,88,32,18,4,22,496.4,6,1,36,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,Joel Embiid,PHI,28,10,6,4,385,236,78,161,48.4,7,33,21.2,73,89,82.0,21,86,107,21,32,4,8,34,399.9,8,0,28,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,Deandre Ayton,PHX,23,13,7,6,397,233,105,164,64.0,2,4,50.0,21,33,63.6,33,83,116,22,19,5,10,34,431.2,4,0,-1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,Devin Booker,PHX,25,10,5,5,366,233,79,175,45.1,28,65,43.1,47,53,88.7,10,38,48,44,32,5,4,25,351.6,0,0,-22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
